Sentence,Pair,Accent,SentenceRating,MatchingRating,Difficulty
14AE2,14,Foreign,-32.695,-31.144,Easy
14BE1,14,Native,-29.593,-31.144,Easy
14AE1,14,Foreign,-28.492,-28.703000000000003,Easy
14BE2,14,Native,-28.914,-28.703000000000003,Easy
14AD11,14,Foreign,-23.32,-19.328,Easy
14BD12,14,Native,-15.335999999999999,-19.328,Easy
14AD12,14,Foreign,-20.012999999999998,-18.6115,Easy
14BD9,14,Native,-17.21,-18.6115,Easy
14AD10,14,Foreign,-0.9619999999999989,-0.5039999999999991,Difficult
14BE5,14,Native,-0.045999999999999375,-0.5039999999999991,Difficult
14AD9,14,Foreign,4.805,3.184,Difficult
14BD8,14,Native,1.5630000000000002,3.184,Difficult
14AD7,14,Foreign,9.148,5.0865,Difficult
14BD10,14,Native,1.0250000000000001,5.0865,Difficult
14AE5,14,Foreign,7.765000000000001,7.7805,Difficult
14BD11,14,Native,7.795999999999999,7.7805,Difficult
33AE4,33,Foreign,-34.328,-34.946,Easy
33BE6,33,Native,-35.564,-34.946,Easy
33AE5,33,Foreign,-32.891,-32.8275,Easy
33BE2,33,Native,-32.764,-32.8275,Easy
33AE3,33,Foreign,-22.687,-23.683,Easy
33BE3,33,Native,-24.679000000000002,-23.683,Easy
33AE6,33,Foreign,-19.055,-20.118000000000002,Easy
33BD12,33,Native,-21.181,-20.118000000000002,Easy
33AD10,33,Foreign,-17.845,-18.1055,Difficult
33BD11,33,Native,-18.366,-18.1055,Difficult
33AD8,33,Foreign,-15.702000000000002,-14.276000000000002,Difficult
33BE1,33,Native,-12.850000000000001,-14.276000000000002,Difficult
33AE2,33,Foreign,-8.306,-8.181000000000001,Difficult
33BD10,33,Native,-8.056000000000001,-8.181000000000001,Difficult
33AD7,33,Foreign,-2.1379999999999995,-2.611999999999999,Difficult
33BD7,33,Native,-3.0859999999999994,-2.611999999999999,Difficult
45AE6,45,Foreign,-25.367,-22.5345,Easy
45BE1,45,Native,-19.701999999999998,-22.5345,Easy
45AE1,45,Foreign,-14.313,-15.535499999999999,Easy
45BD7,45,Native,-16.758,-15.535499999999999,Easy
45AD11,45,Foreign,-14.71,-15.104000000000001,Easy
45BD12,45,Native,-15.498000000000001,-15.104000000000001,Easy
45AD10,45,Foreign,-12.102,-11.426,Easy
45BD9,45,Native,-10.75,-11.426,Easy
45AD9,45,Foreign,-10.163,-10.2575,Difficult
45BE5,45,Native,-10.352,-10.2575,Difficult
45AE3,45,Foreign,-7.3279999999999985,-7.9094999999999995,Difficult
45BE2,45,Native,-8.491000000000001,-7.9094999999999995,Difficult
45AE4,45,Foreign,-5.4609999999999985,-7.061999999999999,Difficult
45BD10,45,Native,-8.663,-7.061999999999999,Difficult
45AD12,45,Foreign,-6.351,-6.6594999999999995,Difficult
45BE4,45,Native,-6.968,-6.6594999999999995,Difficult
